SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
59;144529471293;2016-10-08;28;64;250;2;0;83;73;0;21;3;0;0;0;28;43;250;0;0;226;27;27;170;0;30;32
60;144529471293;2016-10-09;27;94;428;11;0;64;52;0;18;4;0;0;0;27;76;428;0;0;442;23;50;377;0;36;29
61;144529471293;2016-10-10;28;66;136;7;0;56;44;0;25;1;0;0;0;28;41;136;0;0;161;25;29;113;0;25;30
62;144529471293;2016-10-11;33;80;448;6;6;89;63;1;24;6;314;35;0;32;56;134;6;6;494;32;48;399;5;46;37
63;144529471293;2016-10-12;23;112;42106;19;18;107;77;1;19;2;42046;50;0;22;93;60;18;18;42186;23;77;42095;5;46;41
64;144529471293;2016-10-13;29;101;195;3;4;156;94;1;21;0;123;33;0;28;80;72;4;4;280;28;57;185;4;51;53
65;144529471293;2016-10-14;33;74;122;0;0;71;49;0;21;0;0;0;0;33;53;122;0;0;148;31;31;92;0;31;21
66;144529471293;2016-10-15;33;141;511;51;6;104;35;2;26;0;391;50;0;31;115;120;6;6;605;32;82;480;6;53;31
67;144529471293;2016-10-16;34;84;40;1;0;140;18;0;30;1;0;0;0;34;54;40;0;0;85;29;31;33;0;35;12
68;144529471293;2016-10-17;45;113;179;0;0;103;48;0;35;3;0;0;0;45;78;179;0;0;236;42;51;155;0;38;28
69;144529471293;2016-10-18;37;46;69;7;0;107;39;1;16;2;0;3;0;36;30;69;0;0;125;35;21;65;0;29;23
70;144529471293;2016-10-19;29;44;17;36;0;150;55;1;4;0;0;33;0;28;40;17;0;0;131;28;39;15;0;61;40
71;144529471293;2016-10-20;24;47;111;2;0;106;95;1;12;0;0;11;0;23;35;111;0;0;230;22;29;111;0;42;71
72;144529471293;2016-10-21;26;12;311;1;0;0;0;1;8;1;273;0;0;25;4;38;0;0;322;25;4;299;0;0;0
73;144529471293;2016-10-22;25;5;497;10;0;13;8;1;0;0;410;0;0;24;5;87;0;0;519;25;5;494;0;5;4
74;144529471293;2016-10-23;21;21;40;7;0;56;59;0;8;0;0;0;0;21;13;40;0;0;89;19;12;32;0;24;32
75;144529471293;2016-10-24;40;42;207;19;0;147;95;1;10;0;149;7;0;39;32;58;0;0;336;40;31;204;0;63;63
